Damage,GammaDist,Probability,Percentile,DPS,Damage,Normal,Percentile
5495985,2.43886E-07,2.43886E-07,0.008501084,11555.9,5495985,2.52804E-07,0.009137468
5496959,2.49899E-07,2.49899E-07,0.008741627,11557.95,5496959,2.58828E-07,0.009386706
5497933,2.56033E-07,2.56033E-07,0.008988088,11559.99,5497933,2.64969E-07,0.00964187
5498908,2.62288E-07,2.62288E-07,0.009240584,11562.04,5498908,2.71229E-07,0.009903076
5499882,2.68667E-07,2.68667E-07,0.009499235,11564.09,5499882,2.77609E-07,0.010170439
5500856,2.75172E-07,2.75172E-07,0.009764163,11566.14,5500856,2.84111E-07,0.010444077
5501831,2.81804E-07,2.81804E-07,0.01003549,11568.19,5501831,2.90735E-07,0.01072411
5502805,2.88564E-07,2.88564E-07,0.01031334,11570.24,5502805,2.97485E-07,0.011010658
5503779,2.95454E-07,2.95454E-07,0.010597841,11572.29,5503779,3.04361E-07,0.011303844
5504754,3.02476E-07,3.02476E-07,0.010889119,11574.33,5504754,3.11364E-07,0.011603792
5505728,3.09632E-07,3.09632E-07,0.011187304,11576.38,5505728,3.18497E-07,0.011910625
5506702,3.16922E-07,3.16922E-07,0.011492526,11578.43,5506702,3.25761E-07,0.012224473
5507676,3.24349E-07,3.24349E-07,0.011804917,11580.48,5507676,3.33157E-07,0.012545461
5508651,3.31915E-07,3.31915E-07,0.012124613,11582.53,5508651,3.40687E-07,0.012873721
5509625,3.3962E-07,3.3962E-07,0.012451747,11584.58,5509625,3.48352E-07,0.013209384
5510599,3.47466E-07,3.47466E-07,0.012786458,11586.63,5510599,3.56154E-07,0.013552581
5511574,3.55455E-07,3.55455E-07,0.013128882,11588.67,5511574,3.64095E-07,0.013903448
5512548,3.63589E-07,3.63589E-07,0.013479162,11590.72,5512548,3.72175E-07,0.014262118
5513522,3.71869E-07,3.71869E-07,0.013837437,11592.77,5513522,3.80396E-07,0.014628731
5514497,3.80296E-07,3.80296E-07,0.014203851,11594.82,5514497,3.88761E-07,0.015003423
5515471,3.88873E-07,3.88873E-07,0.014578549,11596.87,5515471,3.97269E-07,0.015386335
5516445,3.976E-07,3.976E-07,0.014961676,11598.92,5516445,4.05923E-07,0.015777607
5517420,4.06479E-07,4.06479E-07,0.01535338,11600.97,5517420,4.14724E-07,0.016177383
5518394,4.15511E-07,4.15511E-07,0.01575381,11603.02,5518394,4.23674E-07,0.016585807
5519368,4.24699E-07,4.24699E-07,0.016163116,11605.06,5519368,4.32773E-07,0.017003023
5520343,4.34043E-07,4.34043E-07,0.016581449,11607.11,5520343,4.42024E-07,0.017429178
5521317,4.43545E-07,4.43545E-07,0.017008964,11609.16,5521317,4.51427E-07,0.017864421
5522291,4.53206E-07,4.53206E-07,0.017445814,11611.21,5522291,4.60984E-07,0.0183089
5523266,4.63028E-07,4.63028E-07,0.017892155,11613.26,5523266,4.70697E-07,0.018762766
5524240,4.73012E-07,4.73012E-07,0.018348145,11615.31,5524240,4.80566E-07,0.019226172
5525214,4.83159E-07,4.83159E-07,0.018813942,11617.36,5525214,4.90592E-07,0.01969927
5526189,4.93471E-07,4.93471E-07,0.019289706,11619.4,5526189,5.00778E-07,0.020182215
5527163,5.03949E-07,5.03949E-07,0.019775598,11621.45,5527163,5.11125E-07,0.020675163
5528137,5.14595E-07,5.14595E-07,0.02027178,11623.5,5528137,5.21633E-07,0.02117827
5529112,5.25408E-07,5.25409E-07,0.020778416,11625.55,5529112,5.32303E-07,0.021691694
5530086,5.36392E-07,5.36392E-07,0.021295671,11627.6,5530086,5.43138E-07,0.022215594
5531060,5.47546E-07,5.47546E-07,0.021823711,11629.65,5531060,5.54138E-07,0.022750132
5532035,5.58873E-07,5.58873E-07,0.022362702,11631.7,5532035,5.65304E-07,0.023295468
5533009,5.70373E-07,5.70373E-07,0.022912814,11633.74,5533009,5.76637E-07,0.023851764
5533983,5.82047E-07,5.82047E-07,0.023474214,11635.79,5533983,5.88139E-07,0.024419185
5534958,5.93896E-07,5.93896E-07,0.024047074,11637.84,5534958,5.9981E-07,0.024997895
5535932,6.05922E-07,6.05922E-07,0.024631566,11639.89,5535932,6.11652E-07,0.02558806
5536906,6.18125E-07,6.18125E-07,0.02522786,11641.94,5536906,6.23665E-07,0.026189845
5537881,6.30507E-07,6.30507E-07,0.025836132,11643.99,5537881,6.35851E-07,0.026803419
5538855,6.43068E-07,6.43068E-07,0.026456554,11646.04,5538855,6.48209E-07,0.02742895
5539829,6.55809E-07,6.55809E-07,0.027089302,11648.08,5539829,6.60742E-07,0.028066607
5540803,6.68731E-07,6.68731E-07,0.027734552,11650.13,5540803,6.7345E-07,0.02871656
5541778,6.81834E-07,6.81834E-07,0.028392481,11652.18,5541778,6.86333E-07,0.02937898
5542752,6.95121E-07,6.95121E-07,0.029063266,11654.23,5542752,6.99394E-07,0.030054039
5543726,7.08591E-07,7.08591E-07,0.029747086,11656.28,5543726,7.12631E-07,0.030741909
5544701,7.22244E-07,7.22244E-07,0.030444119,11658.33,5544701,7.26046E-07,0.031442763
5545675,7.36083E-07,7.36083E-07,0.031154546,11660.38,5545675,7.3964E-07,0.032156775
5546649,7.50106E-07,7.50106E-07,0.031878545,11662.43,5546649,7.53413E-07,0.032884119
5547624,7.64315E-07,7.64315E-07,0.032616298,11664.47,5547624,7.67366E-07,0.033624969
5548598,7.78711E-07,7.78711E-07,0.033367987,11666.52,5548598,7.81499E-07,0.034379502
5549572,7.93293E-07,7.93293E-07,0.034133792,11668.57,5549572,7.95812E-07,0.035147894
5550547,8.08062E-07,8.08062E-07,0.034913896,11670.62,5550547,8.10307E-07,0.035930319
5551521,8.23019E-07,8.23019E-07,0.035708481,11672.67,5551521,8.24984E-07,0.036726956
5552495,8.38163E-07,8.38163E-07,0.03651773,11674.72,5552495,8.39842E-07,0.03753798
5553470,8.53495E-07,8.53495E-07,0.037341826,11676.77,5553470,8.54882E-07,0.03836357
5554444,8.69016E-07,8.69016E-07,0.038180952,11678.81,5554444,8.70105E-07,0.039203903
